dim,points,k,time_ms,recall_set,recall_dist,status
3,100000,10,374.91740100085735,1.0,1.0,ok
3,100000,10,37.58268989622593,1.0,1.0,ok
3,100000,10,35.24732403457165,1.0,1.0,ok
3,100000,40,676.2869209051132,1.0,1.0,ok
3,100000,40,677.7078178711236,1.0,1.0,ok
3,100000,40,678.9622702635825,1.0,1.0,ok
3,100000,100,627.816631924361,0.9999999403953552,1.0,ok
3,100000,100,630.930561106652,0.9999999403953552,1.0,ok
3,100000,100,631.0364413075149,0.9999999403953552,1.0,ok
5,100000,40,2368.400955107063,0.9999162554740906,1.0,ok
5,100000,40,2369.2467641085386,0.9999162554740906,1.0,ok
5,100000,40,2371.9400269910693,0.9999162554740906,1.0,ok
2,100000,40,47.92707087472081,1.0,1.0,ok
2,100000,40,27.469275053590536,1.0,1.0,ok
2,100000,40,27.49634627252817,1.0,1.0,ok
4,100000,40,684.8612045869231,1.0,1.0,ok
4,100000,40,685.780833940953,1.0,1.0,ok
4,100000,40,687.805452849716,1.0,1.0,ok
6,100000,40,4449.440859723836,0.9999922513961792,1.0,ok
6,100000,40,4452.251024078578,0.9999922513961792,1.0,ok
6,100000,40,4453.293286263943,0.9999922513961792,1.0,ok
7,100000,40,6016.926307231188,0.9999992251396179,1.0,ok
7,100000,40,6018.313720822334,0.9999992251396179,1.0,ok
7,100000,40,6017.026005778462,0.9999992251396179,1.0,ok
8,100000,40,6121.257171034813,0.9999989867210388,1.0,ok
8,100000,40,6121.051802299917,0.9999989867210388,1.0,ok
8,100000,40,6121.682513970882,0.9999989867210388,1.0,ok
9,100000,40,6211.347233969718,0.9999989867210388,1.0,ok
9,100000,40,6212.537694256753,0.9999989867210388,1.0,ok
9,100000,40,6212.015296798199,0.9999989867210388,1.0,ok
10,100000,40,6281.4053860493,0.9999989867210388,1.0,ok
10,100000,40,6284.349313005805,0.9999989867210388,1.0,ok
10,100000,40,6283.573897089809,0.9999989867210388,1.0,ok
3,500000,10,1195.5901910550892,0.9999992251396179,1.0,ok
3,500000,10,1195.799045264721,0.9999992251396179,1.0,ok
3,500000,10,1195.2402889728546,0.9999992251396179,1.0,ok
3,500000,40,1279.9023776315153,0.9999998211860657,1.0,ok
3,500000,40,1278.5863392055035,0.9999998211860657,1.0,ok
3,500000,40,1279.0867947041988,0.9999998211860657,1.0,ok
3,500000,100,1678.1712276861072,0.9999999403953552,1.0,ok
3,500000,100,1679.9539788626134,0.9999999403953552,1.0,ok
3,500000,100,1684.3981621786952,0.9999999403953552,1.0,ok
5,500000,40,3128.5299342125654,1.0,1.0,ok
5,500000,40,3123.9780760370195,1.0,1.0,ok
5,500000,40,3135.6226969510317,1.0,1.0,ok
2,500000,40,1105.0329897552729,0.9999998211860657,1.0,ok
2,500000,40,1104.1518431156874,0.9999998211860657,1.0,ok
2,500000,40,1102.0481130108237,0.9999998211860657,1.0,ok
4,500000,40,1605.6121638976038,1.0,1.0,ok
4,500000,40,1603.9722710847855,1.0,1.0,ok
4,500000,40,1610.6955809518695,1.0,1.0,ok
6,500000,40,6888.601101003587,0.9999868273735046,1.0,ok
6,500000,40,6953.677618410438,0.9999868273735046,1.0,ok
6,500000,40,6884.121134877205,0.9999868273735046,1.0,ok
7,500000,40,8115.841783117503,0.9999796152114868,1.0,ok
7,500000,40,8227.2944515571,0.9999796152114868,1.0,ok
7,500000,40,8146.451988257468,0.9999796152114868,1.0,ok
8,500000,40,7717.389779165387,0.9999746084213257,1.0,ok
8,500000,40,7706.039962824434,0.9999746084213257,1.0,ok
8,500000,40,7561.163059901446,0.9999746084213257,1.0,ok
9,500000,40,8394.957494921982,0.9999746084213257,1.0,ok
9,500000,40,8335.485450923443,0.9999746084213257,1.0,ok
9,500000,40,8368.232185952365,0.9999746084213257,1.0,ok
10,500000,40,8998.442123178393,0.9999750256538391,1.0,ok
10,500000,40,8879.668515641242,0.9999750256538391,1.0,ok
10,500000,40,8806.3968969509,0.9999750256538391,1.0,ok
