dim,points,k,time_ms,recall,status
3,100000,10,,,error
3,100000,10,,,error
3,100000,10,,,error
3,100000,40,,,error
3,100000,40,,,error
3,100000,40,,,error
3,100000,100,,,error
3,100000,100,,,error
3,100000,100,,,error
5,100000,40,,,error
5,100000,40,,,error
5,100000,40,,,error
3,500000,10,,,error
3,500000,10,,,error
3,500000,10,,,error
3,500000,40,,,error
3,500000,40,,,error
3,500000,40,,,error
3,500000,100,,,error
3,500000,100,,,error
3,500000,100,,,error
5,500000,40,,,error
5,500000,40,,,error
5,500000,40,,,error
2,100000,40,,,error
2,100000,40,,,error
2,100000,40,,,error
2,500000,40,,,error
2,500000,40,,,error
2,500000,40,,,error
4,100000,40,,,error
4,100000,40,,,error
4,100000,40,,,error
4,500000,40,,,error
4,500000,40,,,error
4,500000,40,,,error
6,100000,40,,,error
6,100000,40,,,error
6,100000,40,,,error
6,500000,40,,,error
6,500000,40,,,error
6,500000,40,,,error
7,100000,40,,,error
7,100000,40,,,error
7,100000,40,,,error
7,500000,40,,,error
7,500000,40,,,error
7,500000,40,,,error
8,100000,40,,,error
8,100000,40,,,error
8,100000,40,,,error
8,500000,40,,,error
8,500000,40,,,error
8,500000,40,,,error
9,100000,40,,,error
9,100000,40,,,error
9,100000,40,,,error
9,500000,40,,,error
9,500000,40,,,error
9,500000,40,,,error
10,100000,40,,,error
10,100000,40,,,error
10,100000,40,,,error
10,500000,40,,,error
10,500000,40,,,error
10,500000,40,,,error
